"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
78,39,130,"0.128612",NA,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",21,"Left Wing","0.06142092",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930179,"107.7","27.1"
79,21,131,"0.61614",TRUE,772,"Spain",2,"From Corner",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.09585059",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",98,"Off T",3930179,"113.8","35.1"
83,0,139,"0.500322",NA,906,"Albania",1,"Regular Play",906,"Albania",133698,"Arbër Hoxha",21,"Left Wing","0.05797654",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930179,"111","26.6"
91,25,152,"0.600241",TRUE,906,"Albania",3,"From Free Kick",906,"Albania",7108,"Berat Djimsiti",5,"Left Center Back","0.04627785",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",101,"Wayward",3930179,"109.2","44.2"
91,27,152,"0.719169",TRUE,906,"Albania",3,"From Free Kick",906,"Albania",36885,"Armando Broja",23,"Center Forward","0.111852095",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930179,"108.8","40.8"
1,25,4,"0.513105",NA,772,"Spain",7,"From Goal Kick",772,"Spain",30486,"Pedro González López",19,"Center Attacking Midfield","0.20873496",NA,NA,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",100,"Saved",3930172,"113.1","39.3"
9,44,18,"0.453689",NA,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing","0.16577838",NA,NA,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",98,"Off T",3930172,"112.6","43.2"
14,3,23,"0.221187",TRUE,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.045866285",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930172,"101.1","29.8"
23,27,38,"0.2282",TRUE,772,"Spain",4,"From Throw In",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.0889132",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",100,"Saved",3930172,"115.3","49.5"
24,27,40,"0.988817",NA,772,"Spain",1,"Regular Play",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield","0.020980582",NA,NA,NA,NA,NA,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930172,"88.6","42.3"
