"minute","second","possession","under_pressure","out","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","clearance.left_foot","clearance.right_foot","clearance.head","clearance.aerial_won","clearance.body_part.id","clearance.body_part.name","match_id","location_x","location_y"
4,18,9,TRUE,TRUE,772,"Spain",1,"Regular Play",768,"England",3244,"John Stones",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"8.6","44.8"
4,49,10,TRUE,NA,772,"Spain",2,"From Corner",768,"England",30714,"Jude Bellingham",21,"Left Wing",NA,NA,TRUE,TRUE,37,"Head",3943043,"3.8","45.7"
4,50,10,TRUE,NA,772,"Spain",2,"From Corner",768,"England",4354,"Phil Foden",19,"Center Attacking Midfield",TRUE,NA,NA,NA,38,"Left Foot",3943043,"15.2","52.7"
13,52,24,TRUE,NA,772,"Spain",1,"Regular Play",768,"England",34526,"Marc Guehi",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"12.4","42.4"
14,43,26,TRUE,TRUE,768,"England",4,"From Throw In",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"4","35.1"
15,19,27,TRUE,NA,768,"England",2,"From Corner",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,TRUE,NA,NA,40,"Right Foot",3943043,"7.8","34.2"
16,29,27,TRUE,NA,768,"England",2,"From Corner",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"8.4","37.7"
18,5,29,TRUE,TRUE,772,"Spain",4,"From Throw In",768,"England",3382,"Luke Shaw",6,"Left Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"18.3","39.5"
23,15,39,TRUE,NA,772,"Spain",2,"From Corner",768,"England",3244,"John Stones",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3943043,"8.5","40.8"
24,20,40,TRUE,NA,768,"England",3,"From Free Kick",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"14","38.7"
24,33,42,TRUE,NA,768,"England",1,"Regular Play",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"19.9","11.3"
27,17,44,TRUE,NA,772,"Spain",4,"From Throw In",768,"England",34526,"Marc Guehi",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"11.6","35.7"
28,30,46,TRUE,NA,768,"England",8,"From Keeper",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"33.1","63.2"
34,7,57,TRUE,TRUE,772,"Spain",2,"From Corner",768,"England",34526,"Marc Guehi",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"8.3","45.8"
37,27,60,TRUE,NA,772,"Spain",1,"Regular Play",768,"England",3382,"Luke Shaw",6,"Left Back",NA,NA,TRUE,NA,37,"Head",3943043,"16.1","22"
37,36,60,TRUE,NA,772,"Spain",1,"Regular Play",768,"England",3382,"Luke Shaw",6,"Left Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"13.2","22.2"
