"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
20,45,36,TRUE,906,"Albania",1,"Regular Play",906,"Albania",24438,"Ylber Ramadani",9,"Right Defensive Midfield",NA,NA,8,"Complete",3930179,NA,"52.1","31.6"
23,11,41,TRUE,906,"Albania",3,"From Free Kick",906,"Albania",32030,"Nedim Bajrami",21,"Left Wing",NA,NA,8,"Complete",3930179,NA,"73","6.1"
23,22,41,TRUE,906,"Albania",3,"From Free Kick",906,"Albania",32030,"Nedim Bajrami",21,"Left Wing",NA,NA,9,"Incomplete",3930179,NA,"116.9","15.8"
27,34,49,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6685,"Mikel Oyarzabal Ugarte",21,"Left Wing",NA,NA,9,"Incomplete",3930179,NA,"95","62.6"
47,17,78,TRUE,906,"Albania",1,"Regular Play",906,"Albania",7108,"Berat Djimsiti",5,"Left Center Back",NA,NA,8,"Complete",3930179,NA,"48.2","22.5"
48,9,82,TRUE,906,"Albania",3,"From Free Kick",906,"Albania",49097,"Mario Mitaj",6,"Left Back",NA,NA,8,"Complete",3930179,NA,"64.2","27.2"
56,10,91,TRUE,772,"Spain",1,"Regular Play",772,"Spain",10336,"Alejandro Grimaldo García",6,"Left Back",NA,NA,8,"Complete",3930179,NA,"62.4","3.8"
68,40,109,TRUE,906,"Albania",1,"Regular Play",906,"Albania",8291,"Arlind Afrim Ajeti",3,"Right Center Back",NA,NA,8,"Complete",3930179,NA,"62.8","49.3"
72,13,114,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,9,"Incomplete",3930179,NA,"111.5","69.9"
72,14,114,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",TRUE,NA,8,"Complete",3930179,NA,"112.3","68"
72,17,114,TRUE,772,"Spain",4,"From Throw In",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3930179,NA,"106.4","52.6"
72,46,117,TRUE,772,"Spain",6,"From Counter",772,"Spain",16532,"Daniel Olmo Carvajal",21,"Left Wing",NA,NA,8,"Complete",3930179,NA,"83.7","18.4"
74,45,122,TRUE,772,"Spain",1,"Regular Play",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield",NA,NA,8,"Complete",3930179,TRUE,"68.6","74.6"
80,31,134,TRUE,772,"Spain",1,"Regular Play",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3930179,NA,"100.3","51.8"
92,27,154,TRUE,906,"Albania",1,"Regular Play",906,"Albania",36885,"Armando Broja",23,"Center Forward",NA,NA,9,"Incomplete",3930179,NA,"113.3","63.3"
92,55,156,TRUE,906,"Albania",1,"Regular Play",906,"Albania",57303,"Kristjan Asllani",11,"Left Defensive Midfield",NA,NA,8,"Complete",3930179,NA,"90.3","38.2"
93,9,156,TRUE,906,"Albania",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",TRUE,NA,9,"Incomplete",3930179,NA,"40.5","76"
93,42,156,TRUE,906,"Albania",1,"Regular Play",772,"Spain",41115,"Alejandro Baena Rodríguez",21,"Left Wing",NA,NA,9,"Incomplete",3930179,NA,"29.8","20.9"
2,57,8,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"108.2","11.3"
2,59,8,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"113.9","24"
7,53,14,TRUE,914,"Italy",3,"From Free Kick",914,"Italy",30926,"Davide Frattesi",13,"Right Center Midfield",NA,NA,8,"Complete",3930172,NA,"70.1","75.7"
10,42,20,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"80.7","10.3"
12,11,21,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,NA,8,"Complete",3930172,NA,"49.9","53.4"
13,58,23,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"85.6","14.6"
15,37,26,TRUE,914,"Italy",1,"Regular Play",914,"Italy",30926,"Davide Frattesi",13,"Right Center Midfield",NA,NA,8,"Complete",3930172,NA,"82.4","69.6"
17,26,29,TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930172,NA,"83.6","67.8"
19,14,30,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3930172,NA,"113.3","10.9"
19,25,31,TRUE,914,"Italy",1,"Regular Play",914,"Italy",7156,"Federico Chiesa",17,"Right Wing",TRUE,NA,9,"Incomplete",3930172,NA,"50.2","77.8"
23,22,38,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930172,NA,"90.6","48.2"
23,34,38,TRUE,772,"Spain",4,"From Throw In",914,"Italy",10992,"Gianluca Scamacca",23,"Center Forward",NA,NA,9,"Incomplete",3930172,NA,"52.1","39.6"
25,14,42,TRUE,914,"Italy",1,"Regular Play",914,"Italy",6963,"Lorenzo Pellegrini",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"91.8","51.7"
29,58,53,TRUE,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,NA,9,"Incomplete",3930172,NA,"107.7","13.8"
34,58,60,TRUE,772,"Spain",1,"Regular Play",914,"Italy",30926,"Davide Frattesi",13,"Right Center Midfield",NA,NA,9,"Incomplete",3930172,NA,"29","59.5"
37,36,63,TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,8,"Complete",3930172,NA,"76.6","74.9"
43,28,74,TRUE,914,"Italy",4,"From Throw In",914,"Italy",30926,"Davide Frattesi",13,"Right Center Midfield",NA,NA,9,"Incomplete",3930172,NA,"47.4","60.6"
50,2,90,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,9,"Incomplete",3930172,NA,"107.5","4.7"
50,23,91,TRUE,772,"Spain",4,"From Throw In",772,"Spain",30486,"Pedro González López",19,"Center Attacking Midfield",NA,NA,9,"Incomplete",3930172,NA,"104.9","58.3"
