"minute","second","possession","under_pressure","counterpress","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","duel.type.id","duel.type.name","duel.outcome.id","duel.outcome.name","match_id","location_x","location_y"
49,30,84,TRUE,NA,906,"Albania",1,"Regular Play",906,"Albania",23987,"Rey Manaj",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"112.6","42.1"
54,16,90,TRUE,TRUE,906,"Albania",1,"Regular Play",772,"Spain",3042,"Mikel Merino Zazón",11,"Left Defensive Midfield",11,"Tackle",13,"Lost In Play",3930179,"94","23.4"
54,50,91,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",16532,"Daniel Olmo Carvajal",19,"Center Attacking Midfield",11,"Tackle",4,"Won",3930179,"12.6","53.8"
57,42,93,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",6748,"Ferrán Torres García",17,"Right Wing",10,"Aerial Lost",NA,NA,3930179,"111.3","46.1"
59,30,96,TRUE,TRUE,772,"Spain",1,"Regular Play",906,"Albania",32030,"Nedim Bajrami",21,"Left Wing",11,"Tackle",13,"Lost In Play",3930179,"36.4","6.2"
59,33,96,TRUE,NA,772,"Spain",1,"Regular Play",906,"Albania",7108,"Berat Djimsiti",5,"Left Center Back",11,"Tackle",16,"Success In Play",3930179,"21.5","5.9"
63,5,99,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",24438,"Ylber Ramadani",9,"Right Defensive Midfield",11,"Tackle",4,"Won",3930179,"59.5","15.9"
66,20,103,TRUE,NA,772,"Spain",3,"From Free Kick",906,"Albania",7108,"Berat Djimsiti",5,"Left Center Back",10,"Aerial Lost",NA,NA,3930179,"37.2","11.5"
68,13,107,TRUE,NA,906,"Albania",1,"Regular Play",772,"Spain",6821,"Jesús Navas González",2,"Right Back",10,"Aerial Lost",NA,NA,3930179,"66.9","76.6"
70,19,112,TRUE,NA,772,"Spain",2,"From Corner",906,"Albania",142800,"Medon Berisha",19,"Center Attacking Midfield",10,"Aerial Lost",NA,NA,3930179,"26.4","59.7"
71,20,113,TRUE,NA,906,"Albania",4,"From Throw In",772,"Spain",24921,"Martín Zubimendi Ibáñez",9,"Right Defensive Midfield",10,"Aerial Lost",NA,NA,3930179,"65.9","9.6"
72,13,114,TRUE,NA,772,"Spain",4,"From Throw In",906,"Albania",49097,"Mario Mitaj",6,"Left Back",11,"Tackle",13,"Lost In Play",3930179,"8.6","10.2"
72,17,114,TRUE,NA,772,"Spain",4,"From Throw In",906,"Albania",24438,"Ylber Ramadani",9,"Right Defensive Midfield",11,"Tackle",4,"Won",3930179,"13.7","27.5"
72,22,115,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",133698,"Arbër Hoxha",21,"Left Wing",11,"Tackle",4,"Won",3930179,"17.1","11.8"
74,33,120,TRUE,NA,906,"Albania",4,"From Throw In",772,"Spain",143864,"Fermin Lopez Marin",19,"Center Attacking Midfield",11,"Tackle",14,"Lost Out",3930179,"86","76.6"
74,43,122,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",24921,"Martín Zubimendi Ibáñez",9,"Right Defensive Midfield",11,"Tackle",16,"Success In Play",3930179,"65.6","76.3"
77,32,128,TRUE,NA,772,"Spain",7,"From Goal Kick",906,"Albania",24438,"Ylber Ramadani",9,"Right Defensive Midfield",10,"Aerial Lost",NA,NA,3930179,"50.9","72.7"
79,21,131,TRUE,NA,772,"Spain",2,"From Corner",906,"Albania",36885,"Armando Broja",23,"Center Forward",10,"Aerial Lost",NA,NA,3930179,"6.3","45"
80,31,134,TRUE,NA,772,"Spain",1,"Regular Play",906,"Albania",49097,"Mario Mitaj",6,"Left Back",11,"Tackle",13,"Lost In Play",3930179,"19.8","28.3"
84,23,141,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",8291,"Arlind Afrim Ajeti",3,"Right Center Back",11,"Tackle",16,"Success In Play",3930179,"48.5","52"
84,53,142,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",24921,"Martín Zubimendi Ibáñez",9,"Right Defensive Midfield",11,"Tackle",13,"Lost In Play",3930179,"33.9","35.5"
85,11,142,TRUE,NA,772,"Spain",1,"Regular Play",906,"Albania",3378,"Iván Balliu Campeny",2,"Right Back",11,"Tackle",14,"Lost Out",3930179,"69.2","76.6"
86,11,144,TRUE,TRUE,906,"Albania",1,"Regular Play",772,"Spain",6821,"Jesús Navas González",2,"Right Back",11,"Tackle",14,"Lost Out",3930179,"64.4","75.5"
89,15,148,TRUE,NA,772,"Spain",3,"From Free Kick",906,"Albania",133698,"Arbër Hoxha",21,"Left Wing",11,"Tackle",13,"Lost In Play",3930179,"23.7","6.5"
91,25,152,TRUE,NA,906,"Albania",3,"From Free Kick",772,"Spain",22128,"Robin Aime Robert Le Normand",5,"Left Center Back",10,"Aerial Lost",NA,NA,3930179,"10.9","35.9"
92,5,154,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",142800,"Medon Berisha",19,"Center Attacking Midfield",10,"Aerial Lost",NA,NA,3930179,"44.4","65.9"
92,27,155,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",10336,"Alejandro Grimaldo García",6,"Left Back",11,"Tackle",4,"Won",3930179,"6.8","16.8"
93,2,156,TRUE,NA,906,"Albania",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",11,"Tackle",13,"Lost In Play",3930179,"15.9","55.6"
93,9,156,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",49097,"Mario Mitaj",6,"Left Back",11,"Tackle",13,"Lost In Play",3930179,"79.6","4.1"
93,38,156,TRUE,NA,906,"Albania",1,"Regular Play",772,"Spain",41115,"Alejandro Baena Rodríguez",21,"Left Wing",11,"Tackle",16,"Success In Play",3930179,"27.5","32.5"
93,42,156,TRUE,TRUE,906,"Albania",1,"Regular Play",906,"Albania",24438,"Ylber Ramadani",9,"Right Defensive Midfield",11,"Tackle",4,"Won",3930179,"90.3","59.2"
2,0,5,TRUE,NA,772,"Spain",2,"From Corner",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"112.7","35.7"
7,44,14,TRUE,NA,914,"Italy",3,"From Free Kick",914,"Italy",10992,"Gianluca Scamacca",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"84.8","45.8"
13,18,23,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",11,"Tackle",16,"Success In Play",3930172,"19.5","24.3"
13,58,23,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",13,"Lost In Play",3930172,"34.5","65.5"
15,53,28,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",7480,"Alessandro Bastoni",3,"Right Center Back",11,"Tackle",16,"Success In Play",3930172,"56.8","40.5"
18,26,30,TRUE,NA,772,"Spain",3,"From Free Kick",914,"Italy",7480,"Alessandro Bastoni",3,"Right Center Back",11,"Tackle",13,"Lost In Play",3930172,"54.3","47.7"
19,25,31,TRUE,TRUE,914,"Italy",1,"Regular Play",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",14,"Lost Out",3930172,"69.9","2.3"
20,59,33,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",8181,"Nicolò Barella",15,"Left Center Midfield",10,"Aerial Lost",NA,NA,3930172,"67.2","26.2"
21,14,34,TRUE,NA,914,"Italy",1,"Regular Play",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",10,"Aerial Lost",NA,NA,3930172,"57.6","47.8"
21,51,35,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",41768,"Riccardo Calafiori",5,"Left Center Back",10,"Aerial Lost",NA,NA,3930172,"60.9","31.5"
23,23,38,TRUE,NA,772,"Spain",4,"From Throw In",914,"Italy",41768,"Riccardo Calafiori",5,"Left Center Back",11,"Tackle",13,"Lost In Play",3930172,"20.1","36.6"
23,34,38,TRUE,TRUE,772,"Spain",4,"From Throw In",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",4,"Won",3930172,"68","40.5"
24,9,38,TRUE,NA,772,"Spain",4,"From Throw In",914,"Italy",7024,"Jorge Luiz Frello Filho",10,"Center Defensive Midfield",11,"Tackle",16,"Success In Play",3930172,"26.1","28.8"
24,12,39,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",8181,"Nicolò Barella",15,"Left Center Midfield",11,"Tackle",4,"Won",3930172,"30.2","23"
25,14,42,TRUE,NA,914,"Italy",1,"Regular Play",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",13,"Lost In Play",3930172,"28.3","28.4"
26,48,44,TRUE,NA,914,"Italy",7,"From Goal Kick",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",10,"Aerial Lost",NA,NA,3930172,"52.3","11.8"
27,30,47,TRUE,TRUE,772,"Spain",1,"Regular Play",914,"Italy",7480,"Alessandro Bastoni",3,"Right Center Back",11,"Tackle",13,"Lost In Play",3930172,"21","39"
29,2,51,TRUE,TRUE,914,"Italy",1,"Regular Play",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",16,"Success In Play",3930172,"97.6","2.4"
29,41,52,TRUE,NA,914,"Italy",3,"From Free Kick",914,"Italy",30926,"Davide Frattesi",13,"Right Center Midfield",10,"Aerial Lost",NA,NA,3930172,"92.1","54.7"
29,58,53,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",13,"Lost In Play",3930172,"12.4","66.3"
30,1,54,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",4,"Won",3930172,"15.1","76.6"
34,1,59,TRUE,NA,914,"Italy",3,"From Free Kick",914,"Italy",7156,"Federico Chiesa",17,"Right Wing",10,"Aerial Lost",NA,NA,3930172,"92.1","71.3"
34,58,60,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",30486,"Pedro González López",19,"Center Attacking Midfield",11,"Tackle",16,"Success In Play",3930172,"91.1","20.6"
37,57,64,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",7480,"Alessandro Bastoni",3,"Right Center Back",11,"Tackle",4,"Won",3930172,"14.8","45.5"
39,43,68,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",16,"Success In Play",3930172,"44.9","3.5"
41,34,71,TRUE,NA,914,"Italy",8,"From Keeper",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",10,"Aerial Lost",NA,NA,3930172,"86.3","76.6"
43,28,74,TRUE,NA,914,"Italy",4,"From Throw In",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",11,"Tackle",16,"Success In Play",3930172,"72.7","19.5"
44,35,77,TRUE,NA,772,"Spain",4,"From Throw In",914,"Italy",7024,"Jorge Luiz Frello Filho",10,"Center Defensive Midfield",11,"Tackle",13,"Lost In Play",3930172,"25.4","20.6"
49,10,88,TRUE,NA,772,"Spain",2,"From Corner",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",10,"Aerial Lost",NA,NA,3930172,"116.7","44.8"
50,2,90,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",14,"Lost Out",3930172,"12.6","75.4"
50,23,91,TRUE,NA,772,"Spain",4,"From Throw In",914,"Italy",41768,"Riccardo Calafiori",5,"Left Center Back",11,"Tackle",13,"Lost In Play",3930172,"15.2","21.8"
50,31,92,TRUE,TRUE,914,"Italy",6,"From Counter",914,"Italy",6963,"Lorenzo Pellegrini",15,"Left Center Midfield",11,"Tackle",16,"Success In Play",3930172,"19.8","27"
52,23,96,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",16,"Success In Play",3930172,"27","64.5"
53,34,100,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",11514,"Giovanni Di Lorenzo",2,"Right Back",11,"Tackle",4,"Won",3930172,"20.1","71.3"
53,49,100,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",11,"Tackle",16,"Success In Play",3930172,"105.8","56.8"
56,34,105,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",8181,"Nicolò Barella",10,"Center Defensive Midfield",11,"Tackle",14,"Lost Out",3930172,"45.9","76.6"
57,57,107,TRUE,NA,772,"Spain",2,"From Corner",914,"Italy",41768,"Riccardo Calafiori",5,"Left Center Back",10,"Aerial Lost",NA,NA,3930172,"7.1","36"
58,59,108,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",10,"Aerial Lost",NA,NA,3930172,"56.7","57.4"
60,51,111,TRUE,NA,914,"Italy",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",11,"Tackle",16,"Success In Play",3930172,"99","78.6"
61,13,112,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",11,"Tackle",16,"Success In Play",3930172,"21.2","29.6"
63,47,114,TRUE,NA,772,"Spain",3,"From Free Kick",914,"Italy",8181,"Nicolò Barella",10,"Center Defensive Midfield",11,"Tackle",16,"Success In Play",3930172,"56.4","58.4"
69,41,120,TRUE,NA,772,"Spain",1,"Regular Play",914,"Italy",8181,"Nicolò Barella",10,"Center Defensive Midfield",11,"Tackle",13,"Lost In Play",3930172,"74.4","3.7"
74,8,123,TRUE,NA,772,"Spain",7,"From Goal Kick",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"77.6","55.2"
74,35,123,TRUE,NA,772,"Spain",7,"From Goal Kick",914,"Italy",8792,"Mattia Zaccagni",21,"Left Wing",11,"Tackle",13,"Lost In Play",3930172,"65.5","15.2"
75,4,124,TRUE,NA,914,"Italy",4,"From Throw In",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",11,"Tackle",14,"Lost Out",3930172,"61","77.8"
78,51,129,TRUE,TRUE,914,"Italy",3,"From Free Kick",914,"Italy",50729,"Andrea Cambiaso",17,"Right Wing",11,"Tackle",13,"Lost In Play",3930172,"34.5","71.5"
80,41,132,TRUE,NA,772,"Spain",2,"From Corner",914,"Italy",12255,"Federico Dimarco",6,"Left Back",10,"Aerial Lost",NA,NA,3930172,"6.6","34.1"
81,19,133,TRUE,NA,914,"Italy",7,"From Goal Kick",772,"Spain",6685,"Mikel Oyarzabal Ugarte",23,"Center Forward",11,"Tackle",13,"Lost In Play",3930172,"92.9","19.5"
82,18,135,TRUE,NA,772,"Spain",8,"From Keeper",914,"Italy",50729,"Andrea Cambiaso",17,"Right Wing",11,"Tackle",17,"Success Out",3930172,"83.1","73.1"
82,47,136,TRUE,NA,914,"Italy",4,"From Throw In",914,"Italy",25048,"Giacomo Raspadori",15,"Left Center Midfield",11,"Tackle",16,"Success In Play",3930172,"63.6","76"
84,32,138,TRUE,NA,914,"Italy",4,"From Throw In",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",11,"Tackle",14,"Lost Out",3930172,"4.8","57.4"
86,20,142,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",12255,"Federico Dimarco",6,"Left Back",11,"Tackle",16,"Success In Play",3930172,"70.3","8.1"
86,57,142,TRUE,NA,914,"Italy",1,"Regular Play",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",11,"Tackle",4,"Won",3930172,"13.8","57.7"
87,0,142,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",12255,"Federico Dimarco",6,"Left Back",11,"Tackle",16,"Success In Play",3930172,"106","13.6"
88,31,143,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",6748,"Ferrán Torres García",17,"Right Wing",10,"Aerial Lost",NA,NA,3930172,"90.6","77.5"
88,33,143,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",6685,"Mikel Oyarzabal Ugarte",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"99","65.5"
88,35,143,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",6685,"Mikel Oyarzabal Ugarte",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"98.6","65.4"
88,36,143,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",10,"Aerial Lost",NA,NA,3930172,"91.8","59.1"
90,54,148,TRUE,NA,772,"Spain",7,"From Goal Kick",914,"Italy",31093,"Mateo Retegui",23,"Center Forward",10,"Aerial Lost",NA,NA,3930172,"40.2","47.7"
94,8,155,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",41115,"Alejandro Baena Rodríguez",19,"Center Attacking Midfield",10,"Aerial Lost",NA,NA,3930172,"81.1","47.2"
94,41,158,TRUE,TRUE,914,"Italy",1,"Regular Play",914,"Italy",12255,"Federico Dimarco",6,"Left Back",11,"Tackle",16,"Success In Play",3930172,"63.4","38"
96,7,159,TRUE,NA,914,"Italy",2,"From Corner",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",10,"Aerial Lost",NA,NA,3930172,"5.4","54.4"
